sample_number,x1,y1
536.0,1430,100
332.0,4430,2850
206.0,5430,1600
208.0,1930,3350
,15680,1100
336.0,5680,100
804.0,10680,1850
1310.0,1930,3100
184.0,8180,3600
666.0,5430,3350
568.0,1180,2350
254.0,10430,2350
,15430,2600
196.0,6430,3600
214.0,2930,3850
,15680,3850
1238.0,5680,3100
392.0,12430,3600
106.0,10430,1350
,2430,850
,13430,4350
,15680,2350
306.0,3180,1350
800.0,5180,4600
,6930,3600
,680,850
334.0,14680,2350
282.0,15680,4100
740.0,11680,2350
,2680,2850
280.0,15680,1350
344.0,12930,850
1032.0,5930,4600
330.0,7180,2350
1128.0,2930,3600
848.0,12680,4600
,7680,4850
,15180,2600
712.0,9180,2100
88.0,1180,1600
846.0,5430,4600
,680,100
,2930,600
576.0,13930,3850
1294.0,4430,100
472.0,11930,4100
104.0,12430,4100
64.0,10430,1100
594.0,9680,4850
508.0,15180,2100
262.0,2680,2350
916.0,4180,850
910.0,5930,100
66.0,14680,2600
,680,350
194.0,6180,4100
40.0,9930,3600
470.0,4180,1100
760.0,11680,4350
216.0,11930,1600
1346.0,12680,2350
1394.0,7680,3100
220.0,6180,3100
924.0,4430,4100
1364.0,3680,850
678.0,13930,3600
204.0,14930,1100
,13680,2600
346.0,14180,2100
448.0,14430,1350
304.0,1430,600
,3680,5100
170.0,12180,3350
1028.0,13680,3850
300.0,4430,4600
538.0,7680,2850
,13680,850
822.0,9680,4600
438.0,14180,4100
494.0,3180,850
48.0,13180,2600
490.0,8680,2600
,2180,2850
1324.0,15430,3850
,12180,2100
,3930,100
166.0,930,600
348.0,5930,3600
168.0,10930,600
212.0,10180,4600
286.0,4430,350
370.0,5680,1100
1328.0,11680,1100
,15430,1100
,14930,3600
202.0,8180,2100
742.0,3180,100
410.0,6680,4100
272.0,1430,350
,680,600
,15930,1600
676.0,6430,4100
686.0,14930,2600
524.0,13680,2100
1088.0,1680,3350
802.0,4680,2100
610.0,13430,1600
360.0,2930,100
144.0,10430,3600
,2430,4850
1280.0,2680,4350
110.0,7680,1350
428.0,6430,3850
,2430,3600
1056.0,4930,600
602.0,2930,2600
746.0,1930,1100
,3680,3350
532.0,5180,1600
1244.0,13680,1600
356.0,14180,4350
328.0,8180,4600
,15430,3350
694.0,14930,3850
,2180,4350
,5430,4100
,4430,4350
252.0,2430,1850
182.0,15430,3100
542.0,5430,1850
,6180,5100
632.0,4180,2350
,15680,1600
728.0,13680,3100
606.0,11430,1600
796.0,6430,850
186.0,930,1100
504.0,1680,1350
1382.0,4180,4600
774.0,9680,600
654.0,7180,1600
496.0,14680,1100
1390.0,680,600
198.0,15180,4100
242.0,6930,600
46.0,7930,100
734.0,5930,4850
1226.0,5930,4350
394.0,8930,4850
400.0,13930,2850
1180.0,4930,3850
,2930,1100
452.0,5680,4850
630.0,8180,3100
456.0,2430,4350
710.0,1430,850
432.0,4430,1600
136.0,4680,850
,2430,3100
322.0,10430,4350
98.0,3930,3600
642.0,6180,1350
1378.0,7430,2600
52.0,12680,2850
,3680,2350
382.0,3930,3850
1058.0,3430,850
140.0,4430,5100
762.0,2680,850
1012.0,12180,4100
386.0,7180,1850
,680,1100
840.0,1680,2600
314.0,5680,2850
830.0,8430,600
,14430,2100
718.0,3680,350
672.0,15680,2100
176.0,6680,2100
362.0,6430,1100
,15680,2850
,6930,5100
1036.0,1430,2600
756.0,12930,4600
288.0,8930,4100
350.0,4930,100
1326.0,12680,1850
,3680,4100
,13680,4600
570.0,8930,4350
380.0,2180,100
,9680,2100
278.0,8680,2850
236.0,2680,5100
134.0,7680,850
714.0,13930,4350
1060.0,3430,2850
834.0,5930,350
552.0,6430,1600
460.0,4430,1100
1072.0,5430,5100
476.0,7680,2100
814.0,1680,850
164.0,3430,2100
404.0,1680,350
124.0,15930,2350
426.0,4180,1850
172.0,2180,2100
,10180,4850
232.0,8180,2850
68.0,430,350
420.0,9680,1600
810.0,13680,3350
228.0,8930,1600
190.0,14430,3350
298.0,8430,4350
698.0,12680,2600
34.0,6180,850
210.0,10430,3850
82.0,14430,3100
1008.0,9430,3850
,15680,4350
250.0,8930,850
146.0,9180,350
550.0,12930,2100
266.0,15430,1850
586.0,8930,600
738.0,13180,2850
1350.0,3180,4350
794.0,6680,350
680.0,15930,1350
24.0,5180,2350
,3430,5100
44.0,14430,2350
,15180,3350
274.0,15930,2100
,11180,3600
442.0,9180,1100
188.0,2930,3350
704.0,14680,1350
230.0,5930,1350
620.0,9430,3600
844.0,2930,1600
,2680,4850
