,x1,y1
487,8680.0,2600.0
681,14930.0,2600.0
301,1430.0,600.0
435,14180.0,4100.0
725,13680.0,3600.0
769,9680.0,600.0
491,3180.0,850.0
805,13680.0,3350.0
709,13930.0,4350.0
469,11930.0,4100.0
481,8930.0,3850.0
723,13680.0,3100.0
19,9430.0,4350.0
145,5680.0,2600.0
335,10680.0,4100.0
795,5180.0,4600.0
295,8430.0,4350.0
115,8680.0,850.0
385,6680.0,3350.0
125,10930.0,4600.0
80,14430.0,3100.0
101,12430.0,4100.0
229,8180.0,2850.0
427,8930.0,2100.0
737,3180.0,100.0
353,14180.0,4350.0
639,3930.0,600.0
199,8180.0,2100.0
201,14930.0,1100.0
195,15180.0,4100.0
46,13180.0,2600.0
38,9930.0,3600.0
205,1930.0,3350.0
197,8430.0,4850.0
72,11680.0,2850.0
58,13180.0,2100.0
429,4430.0,1600.0
749,11430.0,4100.0
499,8930.0,1100.0
697,4680.0,3600.0
841,5430.0,4600.0
103,10430.0,1350.0
659,9180.0,2350.0
379,3930.0,3850.0
357,2930.0,100.0
191,6180.0,4100.0
263,15430.0,1850.0
327,7180.0,2350.0
329,4430.0,2850.0
341,12930.0,850.0
173,6680.0,2100.0
76,3680.0,100.0
521,13680.0,2100.0
305,13430.0,3100.0
719,13180.0,4100.0
671,6430.0,4100.0
453,2430.0,4350.0
403,13430.0,2600.0
407,6680.0,4100.0
541,7180.0,1350.0
705,1430.0,850.0
311,5680.0,2850.0
683,15680.0,3600.0
590,9680.0,4850.0
36,4930.0,4850.0
60,3930.0,4350.0
303,3180.0,1350.0
135,8930.0,3600.0
347,4930.0,100.0
439,9180.0,1100.0
309,9930.0,1850.0
119,9930.0,4100.0
367,5680.0,1100.0
50,12680.0,2850.0
15,5930.0,1850.0
193,6430.0,3600.0
584,6680.0,2350.0
147,10180.0,2850.0
66,430.0,350.0
471,11430.0,2600.0
493,14680.0,1100.0
423,4180.0,1850.0
8,9180.0,4600.0
319,10430.0,4350.0
241,6430.0,4850.0
699,14680.0,1350.0
669,9430.0,3350.0
223,3180.0,2600.0
42,14430.0,2350.0
34,12930.0,4350.0
185,2930.0,3350.0
713,3680.0,350.0
44,7930.0,100.0
207,10430.0,3850.0
711,4680.0,350.0
227,5930.0,1350.0
405,7680.0,4100.0
235,9430.0,2850.0
763,4180.0,5100.0
586,3930.0,3100.0
62,10430.0,1100.0
791,6430.0,850.0
457,4430.0,1100.0
141,10430.0,3600.0
535,7680.0,2850.0
397,13930.0,2850.0
209,10180.0,4600.0
580,5930.0,3350.0
137,4430.0,5100.0
411,10680.0,4350.0
525,5430.0,850.0
85,1180.0,1600.0
649,7180.0,1600.0
479,15180.0,2350.0
401,1680.0,350.0
825,8430.0,600.0
605,13430.0,1600.0
593,14680.0,3850.0
637,6180.0,1350.0
515,13430.0,2350.0
13,9680.0,350.0
165,10930.0,600.0
163,930.0,600.0
10,6180.0,1600.0
249,2430.0,1850.0
159,12930.0,2600.0
789,6680.0,350.0
629,2180.0,600.0
4,9930.0,850.0
277,15680.0,1350.0
751,12930.0,4600.0
835,1680.0,2600.0
413,11180.0,2350.0
391,8930.0,4850.0
359,6430.0,1100.0
667,15680.0,2100.0
745,9430.0,3100.0
513,12930.0,3350.0
281,15430.0,2100.0
17,6180.0,3600.0
785,9930.0,1350.0
181,8180.0,3600.0
283,4430.0,350.0
517,8430.0,1350.0
475,15930.0,2850.0
113,12180.0,600.0
285,8930.0,4100.0
549,6430.0,1600.0
743,12180.0,850.0
729,5930.0,4850.0
78,13430.0,850.0
255,11180.0,4600.0
74,6930.0,4600.0
441,12430.0,3100.0
817,9680.0,4600.0
99,3430.0,3850.0
615,9430.0,3600.0
578,3430.0,4600.0
317,4930.0,2850.0
421,14180.0,3350.0
623,8430.0,4600.0
417,9680.0,1600.0
625,8180.0,3100.0
431,5180.0,1850.0
565,1180.0,2350.0
529,5180.0,1600.0
839,2930.0,1600.0
307,11930.0,600.0
783,8430.0,2100.0
70,9680.0,850.0
621,7430.0,3600.0
377,2180.0,100.0
275,8680.0,2850.0
733,13180.0,2850.0
333,5680.0,100.0
627,4180.0,2350.0
6,4930.0,2350.0
799,10680.0,1850.0
467,4180.0,1100.0
107,7680.0,1350.0
217,6180.0,3100.0
95,3930.0,3600.0
325,8180.0,4600.0
169,2180.0,2100.0
211,2930.0,3850.0
393,4680.0,2350.0
741,1930.0,1100.0
349,1930.0,2100.0
543,10930.0,2100.0
213,11930.0,1600.0
289,12180.0,1100.0
29,11930.0,3850.0
68,10430.0,1850.0
117,3430.0,2600.0
673,13930.0,3600.0
32,6180.0,850.0
